,horizontalDifference,trial
2,6.59368896484375,vp16_22_Session1_d01_fam01_23
0,14.1549072265625,vp16_23_Session1_d01_fam01_24
1,14.1549072265625,vp16_23_Session1_d01_fam01_24
2,14.1549072265625,vp16_23_Session1_d01_fam01_24
0,8.69732666015625,vp16_24_Session1_d01_fam01_25
1,8.69732666015625,vp16_24_Session1_d01_fam01_25
2,8.69732666015625,vp16_24_Session1_d01_fam01_25
0,14.175811767578125,vp16_25_Session1_d01_fam01_26
1,14.175811767578125,vp16_25_Session1_d01_fam01_26
2,14.175811767578125,vp16_25_Session1_d01_fam01_26
0,15.806182861328125,vp16_26_Session1_d01_fam01_27
1,15.806182861328125,vp16_26_Session1_d01_fam01_27
2,15.806182861328125,vp16_26_Session1_d01_fam01_27
0,25.95965576171875,vp16_27_Session1_d01_fam01_28
1,25.95965576171875,vp16_27_Session1_d01_fam01_28
2,25.95965576171875,vp16_27_Session1_d01_fam01_28
0,12.66290283203125,vp16_28_Session1_d01_fam01_29
1,12.66290283203125,vp16_28_Session1_d01_fam01_29
2,12.66290283203125,vp16_28_Session1_d01_fam01_29
0,8.595428466796875,vp16_30_Session1_d01_fam01_31
1,8.595428466796875,vp16_30_Session1_d01_fam01_31
2,8.595428466796875,vp16_30_Session1_d01_fam01_31
0,9.344512939453125,vp16_31_Session1_d01_fam01_32
1,9.344512939453125,vp16_31_Session1_d01_fam01_32
2,9.344512939453125,vp16_31_Session1_d01_fam01_32
0,13.519439697265625,vp16_32_Session1_d01_fam01_33
1,13.519439697265625,vp16_32_Session1_d01_fam01_33
2,13.519439697265625,vp16_32_Session1_d01_fam01_33
0,2.7642822265625,vp16_33_Session1_d01_fam01_34
1,2.7642822265625,vp16_33_Session1_d01_fam01_34
2,2.7642822265625,vp16_33_Session1_d01_fam01_34
0,2.297393798828125,vp16_34_Session1_d01_fam01_35
1,2.297393798828125,vp16_34_Session1_d01_fam01_35
2,2.297393798828125,vp16_34_Session1_d01_fam01_35
0,9.918548583984375,vp16_35_Session1_d01_fam01_36
1,9.918548583984375,vp16_35_Session1_d01_fam01_36
2,9.918548583984375,vp16_35_Session1_d01_fam01_36
0,7.54351806640625,vp16_36_Session1_d01_fam01_37
1,7.54351806640625,vp16_36_Session1_d01_fam01_37
2,7.54351806640625,vp16_36_Session1_d01_fam01_37
0,11.19793701171875,vp16_37_Session1_d01_fam01_38
1,11.19793701171875,vp16_37_Session1_d01_fam01_38
2,11.19793701171875,vp16_37_Session1_d01_fam01_38
0,9.100982666015625,vp16_38_Session1_d01_fam01_39
1,9.100982666015625,vp16_38_Session1_d01_fam01_39
2,9.100982666015625,vp16_38_Session1_d01_fam01_39
0,20.711669921875,vp16_39_Session1_d01_fam01_40
1,20.711669921875,vp16_39_Session1_d01_fam01_40
2,20.711669921875,vp16_39_Session1_d01_fam01_40
0,6.649444580078125,vp16_40_Session1_d01_fam01_41
1,6.649444580078125,vp16_40_Session1_d01_fam01_41
2,6.649444580078125,vp16_40_Session1_d01_fam01_41
0,-2.92706298828125,vp16_41_Session1_d01_fam01_42
1,-2.92706298828125,vp16_41_Session1_d01_fam01_42
2,-2.92706298828125,vp16_41_Session1_d01_fam01_42
0,2.78814697265625,vp16_42_Session1_d01_fam01_43
1,2.78814697265625,vp16_42_Session1_d01_fam01_43
2,2.78814697265625,vp16_42_Session1_d01_fam01_43
0,11.27130126953125,vp16_43_Session1_d01_fam01_44
1,11.27130126953125,vp16_43_Session1_d01_fam01_44
2,11.27130126953125,vp16_43_Session1_d01_fam01_44
0,1.940704345703125,vp16_44_Session1_d01_fam01_45
1,1.940704345703125,vp16_44_Session1_d01_fam01_45
2,1.940704345703125,vp16_44_Session1_d01_fam01_45
0,10.4326171875,vp16_45_Session1_d01_fam01_46
1,10.4326171875,vp16_45_Session1_d01_fam01_46
2,10.4326171875,vp16_45_Session1_d01_fam01_46
0,11.218902587890625,vp16_46_Session1_d01_fam01_47
1,11.218902587890625,vp16_46_Session1_d01_fam01_47
2,11.218902587890625,vp16_46_Session1_d01_fam01_47
0,18.5489501953125,vp16_47_Session1_d01_fam01_48
1,18.5489501953125,vp16_47_Session1_d01_fam01_48
2,18.5489501953125,vp16_47_Session1_d01_fam01_48
0,28.71331787109375,vp16_48_Session1_d01_fam02_1
1,28.71331787109375,vp16_48_Session1_d01_fam02_1
2,28.71331787109375,vp16_48_Session1_d01_fam02_1
0,11.357330322265625,vp16_49_Session1_d01_fam02_2
1,11.357330322265625,vp16_49_Session1_d01_fam02_2
2,11.357330322265625,vp16_49_Session1_d01_fam02_2
0,11.10546875,vp16_51_Session1_d01_fam02_4
1,11.10546875,vp16_51_Session1_d01_fam02_4
2,11.10546875,vp16_51_Session1_d01_fam02_4
0,7.514801025390625,vp16_52_Session1_d01_fam02_5
1,7.514801025390625,vp16_52_Session1_d01_fam02_5
2,7.514801025390625,vp16_52_Session1_d01_fam02_5
0,32.86322021484375,vp16_53_Session1_d01_fam02_6
1,32.86322021484375,vp16_53_Session1_d01_fam02_6
2,32.86322021484375,vp16_53_Session1_d01_fam02_6
0,15.45220947265625,vp16_54_Session1_d01_fam02_7
1,15.45220947265625,vp16_54_Session1_d01_fam02_7
2,15.45220947265625,vp16_54_Session1_d01_fam02_7
0,16.5302734375,vp16_55_Session1_d01_fam02_8
1,16.5302734375,vp16_55_Session1_d01_fam02_8
2,16.5302734375,vp16_55_Session1_d01_fam02_8
0,20.063323974609375,vp16_56_Session1_d01_fam02_9
1,20.063323974609375,vp16_56_Session1_d01_fam02_9
2,20.063323974609375,vp16_56_Session1_d01_fam02_9
3,10.953948974609375,vp16_56_Session1_d01_fam02_9
4,10.953948974609375,vp16_56_Session1_d01_fam02_9
5,10.953948974609375,vp16_56_Session1_d01_fam02_9
0,3.573577880859375,vp16_58_Session1_d01_fam02_11
1,3.573577880859375,vp16_58_Session1_d01_fam02_11
2,3.573577880859375,vp16_58_Session1_d01_fam02_11
0,5.724212646484375,vp16_60_Session1_d01_fam02_13
1,5.724212646484375,vp16_60_Session1_d01_fam02_13
2,5.724212646484375,vp16_60_Session1_d01_fam02_13
0,8.408538818359375,vp16_61_Session1_d01_fam02_14
1,8.408538818359375,vp16_61_Session1_d01_fam02_14
2,8.408538818359375,vp16_61_Session1_d01_fam02_14
0,20.708099365234375,vp16_62_Session1_d01_fam02_15
1,20.708099365234375,vp16_62_Session1_d01_fam02_15
2,20.708099365234375,vp16_62_Session1_d01_fam02_15
