,horizontalDifference,trial
1,4.21124267578125,vp1_39_Session3_d03_b01_40
2,4.21124267578125,vp1_39_Session3_d03_b01_40
0,-13.0550537109375,vp1_40_Session3_d03_b01_41
1,-13.0550537109375,vp1_40_Session3_d03_b01_41
2,-13.0550537109375,vp1_40_Session3_d03_b01_41
0,-1.448974609375,vp1_42_Session3_d03_b01_43
1,-1.448974609375,vp1_42_Session3_d03_b01_43
2,-1.448974609375,vp1_42_Session3_d03_b01_43
0,14.24322509765625,vp1_43_Session3_d03_b01_44
1,14.24322509765625,vp1_43_Session3_d03_b01_44
2,14.24322509765625,vp1_43_Session3_d03_b01_44
0,-0.71636962890625,vp1_44_Session3_d03_b01_45
1,-0.71636962890625,vp1_44_Session3_d03_b01_45
2,-0.71636962890625,vp1_44_Session3_d03_b01_45
0,-0.6539306640625,vp1_46_Session3_d03_b01_47
1,-0.6539306640625,vp1_46_Session3_d03_b01_47
2,-0.6539306640625,vp1_46_Session3_d03_b01_47
0,7.06414794921875,vp1_47_Session3_d03_b01_48
1,7.06414794921875,vp1_47_Session3_d03_b01_48
2,7.06414794921875,vp1_47_Session3_d03_b01_48
0,-5.23309326171875,vp1_48_Session3_d03_b02_1
1,-5.23309326171875,vp1_48_Session3_d03_b02_1
2,-5.23309326171875,vp1_48_Session3_d03_b02_1
0,13.8524169921875,vp1_49_Session3_d03_b02_2
1,13.8524169921875,vp1_49_Session3_d03_b02_2
2,13.8524169921875,vp1_49_Session3_d03_b02_2
0,-26.04229736328125,vp1_50_Session3_d03_b02_3
1,-26.04229736328125,vp1_50_Session3_d03_b02_3
2,-26.04229736328125,vp1_50_Session3_d03_b02_3
0,15.142425537109375,vp1_51_Session3_d03_b02_4
1,15.142425537109375,vp1_51_Session3_d03_b02_4
2,15.142425537109375,vp1_51_Session3_d03_b02_4
0,10.84613037109375,vp1_52_Session3_d03_b02_5
1,10.84613037109375,vp1_52_Session3_d03_b02_5
2,10.84613037109375,vp1_52_Session3_d03_b02_5
0,-20.9637451171875,vp1_53_Session3_d03_b02_6
1,-20.9637451171875,vp1_53_Session3_d03_b02_6
2,-20.9637451171875,vp1_53_Session3_d03_b02_6
0,15.977203369140625,vp1_54_Session3_d03_b02_7
1,15.977203369140625,vp1_54_Session3_d03_b02_7
2,15.977203369140625,vp1_54_Session3_d03_b02_7
0,4.369171142578125,vp1_55_Session3_d03_b02_8
1,4.369171142578125,vp1_55_Session3_d03_b02_8
2,4.369171142578125,vp1_55_Session3_d03_b02_8
0,-17.864776611328125,vp1_56_Session3_d03_b02_9
1,-17.864776611328125,vp1_56_Session3_d03_b02_9
2,-17.864776611328125,vp1_56_Session3_d03_b02_9
0,-6.7081298828125,vp1_58_Session3_d03_b02_11
1,-6.7081298828125,vp1_58_Session3_d03_b02_11
2,-6.7081298828125,vp1_58_Session3_d03_b02_11
0,4.32965087890625,vp1_60_Session3_d03_b02_13
1,4.32965087890625,vp1_60_Session3_d03_b02_13
2,4.32965087890625,vp1_60_Session3_d03_b02_13
0,-7.3175048828125,vp1_61_Session3_d03_b02_14
1,-7.3175048828125,vp1_61_Session3_d03_b02_14
2,-7.3175048828125,vp1_61_Session3_d03_b02_14
0,-2.452667236328125,vp1_63_Session3_d03_b02_16
1,-2.452667236328125,vp1_63_Session3_d03_b02_16
2,-2.452667236328125,vp1_63_Session3_d03_b02_16
0,18.342742919921875,vp1_64_Session3_d03_b02_17
1,18.342742919921875,vp1_64_Session3_d03_b02_17
2,18.342742919921875,vp1_64_Session3_d03_b02_17
0,-22.094207763671875,vp1_65_Session3_d03_b02_18
1,-22.094207763671875,vp1_65_Session3_d03_b02_18
2,-22.094207763671875,vp1_65_Session3_d03_b02_18
0,1.039794921875,vp1_66_Session3_d03_b02_19
1,1.039794921875,vp1_66_Session3_d03_b02_19
2,1.039794921875,vp1_66_Session3_d03_b02_19
0,-13.3690185546875,vp1_67_Session3_d03_b02_20
1,-13.3690185546875,vp1_67_Session3_d03_b02_20
2,-13.3690185546875,vp1_67_Session3_d03_b02_20
0,-1.299346923828125,vp1_69_Session3_d03_b02_22
1,-1.299346923828125,vp1_69_Session3_d03_b02_22
2,-1.299346923828125,vp1_69_Session3_d03_b02_22
0,27.687652587890625,vp1_70_Session3_d03_b02_23
1,27.687652587890625,vp1_70_Session3_d03_b02_23
2,27.687652587890625,vp1_70_Session3_d03_b02_23
0,21.110931396484375,vp1_72_Session3_d03_b02_25
1,21.110931396484375,vp1_72_Session3_d03_b02_25
2,21.110931396484375,vp1_72_Session3_d03_b02_25
0,4.76800537109375,vp1_73_Session3_d03_b02_26
1,4.76800537109375,vp1_73_Session3_d03_b02_26
2,4.76800537109375,vp1_73_Session3_d03_b02_26
0,10.784423828125,vp1_74_Session3_d03_b02_27
1,10.784423828125,vp1_74_Session3_d03_b02_27
2,10.784423828125,vp1_74_Session3_d03_b02_27
0,20.623870849609375,vp1_75_Session3_d03_b02_28
1,20.623870849609375,vp1_75_Session3_d03_b02_28
2,20.623870849609375,vp1_75_Session3_d03_b02_28
0,-5.076629638671875,vp1_76_Session3_d03_b02_29
1,-5.076629638671875,vp1_76_Session3_d03_b02_29
2,-5.076629638671875,vp1_76_Session3_d03_b02_29
0,2.5108642578125,vp1_77_Session3_d03_b02_30
1,2.5108642578125,vp1_77_Session3_d03_b02_30
2,2.5108642578125,vp1_77_Session3_d03_b02_30
0,3.06695556640625,vp1_78_Session3_d03_b02_31
1,3.06695556640625,vp1_78_Session3_d03_b02_31
2,3.06695556640625,vp1_78_Session3_d03_b02_31
0,14.05963134765625,vp1_79_Session3_d03_b02_32
1,14.05963134765625,vp1_79_Session3_d03_b02_32
2,14.05963134765625,vp1_79_Session3_d03_b02_32
0,11.498260498046875,vp1_81_Session3_d03_b02_34
1,11.498260498046875,vp1_81_Session3_d03_b02_34
2,11.498260498046875,vp1_81_Session3_d03_b02_34
0,-17.014862060546875,vp1_83_Session3_d03_b02_36
1,-17.014862060546875,vp1_83_Session3_d03_b02_36
2,-17.014862060546875,vp1_83_Session3_d03_b02_36
0,0.66192626953125,vp1_84_Session3_d03_b02_37
1,0.66192626953125,vp1_84_Session3_d03_b02_37
2,0.66192626953125,vp1_84_Session3_d03_b02_37
0,-5.39813232421875,vp1_85_Session3_d03_b02_38
